state_code,county_code,action_taken,loan_type,loan_purpose,lien_status,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,occupancy_type,income,debt_to_income_ratio,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,applicant_sex,denial_reason_1,denial_reason_2,rate_spread_valid,ltv_capped,dti_numeric,label,strata
MI,26025.0,1,1,2,1,2,2,115000.0,68.1,5.99,-0.33,2,1,77.0,39,2,5,2,,8,1,10,,False,68.1,39.0,1,1_2
AZ,4013.0,3,2,1,1,2,2,175000.0,46.667,,,3,1,105.0,>60%,2,2,5,,5,1,1,,False,46.667,65.0,0,0_5
MI,26139.0,1,1,1,1,87,87,305000.0,,,,2,1,124.0,,2,2,5,,5,1,10,,False,,,1,1_5
LA,22033.0,3,1,1,1,2,2,185000.0,97.0,,,3,1,51.0,50%-60%,1,5,1,,8,2,1,,False,97.0,55.0,0,0_1
GA,13051.0,1,1,32,2,2,2,45000.0,50.02,9.0,2.419,2,1,115.0,30%-<36%,2,2,5,,5,2,10,,True,50.02,33.0,1,1_5
TN,47155.0,3,1,4,2,1,2,25000.0,53.79,,,3,1,60.0,48,2,5,5,,8,1,7,,False,53.79,48.0,0,0_5
MT,30093.0,1,1,1,1,2,2,165000.0,80.0,6.625,0.745,2,1,551.0,<20%,2,5,5,,8,1,10,,True,80.0,10.0,1,1_5
TX,48027.0,1,1,1,1,2,2,275000.0,93.14,5.625,-0.264,2,1,132.0,20%-<30%,2,2,5,,5,2,10,,False,93.14,25.0,1,1_5
GA,13223.0,3,1,4,2,87,87,45000.0,,,,3,1,66.0,,2,5,3,,8,2,87,,False,,,0,0_3
CA,6037.0,1,1,32,1,1,2,255000.0,17.22,8.5,,2,1,55.0,50%-60%,2,5,5,,8,2,10,,False,17.22,55.0,1,1_5
TX,48121.0,1,1,1,1,2,2,215000.0,90.0,6.623,0.406,2,1,51.0,46,2,2,5,,5,1,10,,True,90.0,46.0,1,1_5
NY,36029.0,1,1,2,2,1,2,105000.0,73.548,7.25,-0.89,2,1,76.0,44,2,1,1,,5,2,10,,False,73.548,44.0,1,1_1
CA,6073.0,1,1,1,1,2,2,1505000.0,69.525,4.75,-2.214,2,1,417.0,36,2,2,5,,5,1,10,,False,69.525,36.0,1,1_5
NC,37063.0,1,1,1,1,2,2,715000.0,75.0,7.375,0.725,3,2,298.0,40,2,2,5,,2,2,10,,True,75.0,40.0,1,1_5
TX,48037.0,3,1,1,1,2,2,75000.0,,,,3,1,34.0,>60%,2,5,3,,8,2,3,1,False,,65.0,0,0_3
TX,48157.0,1,1,1,1,2,2,305000.0,80.0,7.25,0.498,2,1,150.0,20%-<30%,2,2,2,26,2,1,10,,True,80.0,25.0,1,1_2
MD,24033.0,1,2,32,1,2,2,375000.0,78.316,5.75,-0.227,2,1,79.0,50%-60%,1,5,5,,8,1,10,,False,78.316,55.0,1,1_5
NH,33015.0,1,1,1,1,2,2,545000.0,95.0,6.625,0.688,2,1,145.0,49,2,2,5,,5,1,10,,True,95.0,49.0,1,1_5
AL,1133.0,3,1,1,1,2,2,105000.0,,,,3,1,76.0,20%-<30%,2,5,5,,8,1,3,5,False,,25.0,0,0_5
NC,37119.0,1,1,4,2,1,2,55000.0,74.392,8.75,2.254,2,1,110.0,45,2,5,3,,8,2,10,,True,74.392,45.0,1,1_3
CA,6073.0,1,1,32,2,2,2,265000.0,90.0,10.75,4.371,2,1,246.0,43,2,2,2,23,2,1,10,,True,90.0,43.0,1,1_2
