model,group,n,approval_rate,DIR,DPD,ΔTPR,ΔFPR,chi2,p_chi2,adverse_impact
Logistic Regression,White,1486,0.6460296096904441,1.0,0.0,0.0,0.0,0.0,1.0,False
Logistic Regression,AI/AN,64,0.484375,0.7497721354166668,-0.1616546096904441,-0.06060606060606066,-0.13526912181303113,6.270377236781001,0.012277300161825964,True
Logistic Regression,Asian,142,0.7816901408450704,1.2099911971830986,0.13566053115462628,0.1539153915391539,0.15131624404062743,10.003846567136867,0.0015621359911746002,False
Logistic Regression,Black,258,0.5426356589147286,0.8399547803617571,-0.10339395077571545,-0.0626764539808018,-0.04506293624602081,9.651086459511617,0.0018923962546253037,False
Logistic Regression,NH/PI,49,0.6326530612244898,0.9792942176870749,-0.013376548465954263,0.1298701298701298,-0.05193578847969782,0.0016674815916081272,0.9674275892595628,False
XGBoost,White,1486,0.7086137281292059,1.0,0.0,0.0,0.0,0.0,1.0,False
XGBoost,AI/AN,64,0.5625,0.7938034188034189,-0.14611372812920587,0.06629400804158081,-0.19991906110886282,5.589049816489035,0.018073097389802117,True
XGBoost,Asian,142,0.7816901408450704,1.1031258777737651,0.07307641271586451,0.0882962082616029,0.12063843018033582,3.04746606674178,0.08086321577187698,False
XGBoost,Black,258,0.6201550387596899,0.8751665599210819,-0.08845868936951595,0.0034920756744311054,-0.06442568850208813,7.710548921343235,0.005489905540481762,False
XGBoost,NH/PI,49,0.6326530612244898,0.8928038451847977,-0.07596066690471603,0.07026226200983487,-0.05706191825171997,0.978453081629494,0.3225810140102836,False
FNN,White,1486,0.8028263795423957,1.0,0.0,0.0,0.0,0.0,1.0,False
FNN,AI/AN,64,0.6875,0.856349538977368,-0.11532637954239566,0.040649210552123116,-0.12161068393363011,4.373437515387346,0.03650328266111142,False
FNN,Asian,142,0.8450704225352113,1.0526191516239094,0.04224404299281559,0.04669981561262915,0.10661231258204928,1.2238889243303417,0.2685987971005031,False
FNN,Black,258,0.6666666666666666,0.8303995529477508,-0.13615971287572903,-0.05286355687368771,-0.11792879880844603,23.167471230572456,1.4848794601916037e-06,False
FNN,NH/PI,49,0.6938775510204082,0.8642934122517406,-0.1089488285219875,-0.010938091035178399,-0.05018211250505872,2.8641200122663086,0.09057523500456346,False
